Date;Open*;Close**;Market Cap
1.05.2018;40,55;39,1;430091200
2.05.2018;39;39,31;432459500
3.05.2018;39,27;44,26;486887500
4.05.2018;44,27;43,23;475527800
5.05.2018;43,17;43,87;482524900
6.05.2018;43,99;42,87;471599700
7.05.2018;42,89;41,53;456812400
8.05.2018;41,61;45,1;496124200
9.05.2018;44,96;50,41;554510000
10.05.2018;50,27;44,28;487084400
11.05.2018;44,19;56,03;616309100
12.05.2018;55,09;52,12;573277100
13.05.2018;52,15;52,98;582733800
14.05.2018;52,84;54,08;594924000
15.05.2018;56,25;54,23;596580600
16.05.2018;54,09;50,41;554456100
17.05.2018;50,46;56,8;624796700
18.05.2018;58,77;55,63;611904700
19.05.2018;55,44;53,83;592164100
20.05.2018;53,7;54,3;597273600
21.05.2018;54,31;51,8;569806600
22.05.2018;51,81;45,7;502684600
23.05.2018;45,65;42,4;466440700
24.05.2018;42,31;42,03;462336600
25.05.2018;42,04;39,87;438517200
26.05.2018;39,81;39,3;432247200
27.05.2018;39,32;38,42;422585900
28.05.2018;38,48;33,12;364335400
29.05.2018;33,11;37,65;414096100
30.05.2018;37,73;36,56;402141300
31.05.2018;36,71;38,33;421637700
1.06.2018;38,4;39,32;432467200
2.06.2018;39,28;40,73;448065200
3.06.2018;40,68;40,37;444051300
4.06.2018;40,28;37,59;413491100
5.06.2018;37,62;38,15;419595000
6.06.2018;38,07;38,14;419515800
7.06.2018;38,17;38,9;427940700
8.06.2018;38,92;38,34;421713600
9.06.2018;38,33;37,29;410239500
10.06.2018;37,32;32,85;361372000
11.06.2018;32,86;33,51;368577000
12.06.2018;33,46;31,15;342669800
13.06.2018;31,22;30,74;338121300
14.06.2018;30,74;34,67;381343600
15.06.2018;34,53;32,8;360753800
16.06.2018;32,79;33,27;365954600
17.06.2018;33,27;33,68;370481100
18.06.2018;33,6;34,47;379179900
19.06.2018;34,47;36,46;401012700
20.06.2018;36,54;36,12;397271600
21.06.2018;36,13;34,77;382486500
22.06.2018;34,75;30,53;335857500
23.06.2018;30,56;30,6;336583500
24.06.2018;30,43;30,58;336374500
25.06.2018;30,55;31,85;350341200
26.06.2018;31,87;30,12;331299100
27.06.2018;30,11;29,83;328157500
28.06.2018;29,88;30,29;333144900
29.06.2018;30,3;32,44;356852100
30.06.2018;32,5;36,39;400237200
1.07.2018;35,37;34,5;379549500
2.07.2018;34,5;36,68;403497600
3.07.2018;36,68;35,3;388248300
4.07.2018;35,28;35,5;390447200
5.07.2018;35,46;35,93;395252000
6.07.2018;36;36,45;400952200
7.07.2018;36,43;35,62;391859600
8.07.2018;35,5;34,14;375549900
9.07.2018;34,15;34,37;378029300
10.07.2018;34,37;30,94;340352100
11.07.2018;30,93;32,04;352402600
12.07.2018;32,03;30,24;332653200
13.07.2018;30,35;28,13;309437700
14.07.2018;28,12;28,5;313476900
15.07.2018;28,48;28,63;314920100
16.07.2018;28,72;30,11;331183600
17.07.2018;30,15;31,59;347455900
18.07.2018;31,63;31,31;344422100
19.07.2018;31,28;30,45;334907100
20.07.2018;30,55;28,4;312404400
21.07.2018;28,33;29,78;327602000
22.07.2018;29,77;35,42;389632100
23.07.2018;35,95;32,12;353321100
24.07.2018;32,16;30,54;335993900
25.07.2018;30,27;29,96;329533600
26.07.2018;30,13;30,01;330159500
27.07.2018;29,92;30,52;335731000
28.07.2018;30,51;30,04;330423500
29.07.2018;30,11;30,52;335771700
30.07.2018;30,45;31,37;345024900
31.07.2018;31,29;30,12;331300200
1.08.2018;30,25;30,3;333273600
2.08.2018;30,27;29,35;322845600
3.08.2018;29,32;29,56;325109400
4.08.2018;29,56;28,14;309490500
5.08.2018;28,13;28,65;315095000
6.08.2018;28,72;28;308000000
7.08.2018;27,9;26,82;294965000
8.08.2018;26,85;22,51;247557200
9.08.2018;22,5;25,72;282870500
10.08.2018;25,73;23,06;253641300
11.08.2018;23,04;20,86;229491900
12.08.2018;20,79;20,98;230740400
13.08.2018;21,03;19,13;210442100
14.08.2018;19,13;16,35;179843400
15.08.2018;16,44;16,57;182257900
16.08.2018;16,56;16,97;186672200
17.08.2018;16,99;19,51;214637500
18.08.2018;19,62;18,15;199689600
19.08.2018;18,12;18,67;205365600
20.08.2018;18,67;17,76;195343500
21.08.2018;17,76;19,33;212581600
22.08.2018;19,32;18,58;204371200
23.08.2018;18,59;19,1;210051600
24.08.2018;19,11;19,03;209353100
