Date;Open*;Close**;Market Cap
1.05.2018;1051,01;1042,01;644199519
2.05.2018;1041,01;1038,97;642320106
3.05.2018;1038,69;1141,7;705830645
4.05.2018;1132,16;1143,79;707122741
5.05.2018;1144,3;1154,58;713793419
6.05.2018;1161,75;1066,23;659172995
7.05.2018;1068,58;1026,06;634338786
8.05.2018;1029,14;1008,54;623507435
9.05.2018;1007,16;1024,29;633244523
10.05.2018;1025,05;1070,39;661744823
11.05.2018;1071,24;952,77;589025781
12.05.2018;950,01;938,13;579979873
13.05.2018;937,46;991,02;612674848
14.05.2018;990,55;958,85;592790170
15.05.2018;957,23;927,68;573520629
16.05.2018;926,87;899,51;556101443
17.05.2018;900,24;868,32;536822010
18.05.2018;868,44;907,4;560980497
19.05.2018;906,89;893,81;552580018
20.05.2018;894,06;922,77;570484512
21.05.2018;923,87;904,69;559302008
22.05.2018;903,36;859,02;531070637
23.05.2018;858,3;760,67;470267936
24.05.2018;758,74;781,23;482980554
25.05.2018;781,83;780,38;482452587
26.05.2018;779,66;755,51;467078499
27.05.2018;756,75;767,89;474728449
28.05.2018;771,08;701,75;433839483
29.05.2018;703,19;751,36;464510381
30.05.2018;751,51;740,53;457818065
31.05.2018;740,03;752,74;465363535
1.06.2018;753,51;770,33;476239398
2.06.2018;769,23;787,65;486944630
3.06.2018;787,33;808,57;499882283
4.06.2018;807,58;794,14;490957547
5.06.2018;787,57;799,24;494112363
6.06.2018;797,38;796,97;492710222
7.06.2018;796,92;795,26;491650580
8.06.2018;796,51;784,77;485165989
9.06.2018;786,26;782,63;483846073
10.06.2018;784,52;685,63;423875506
11.06.2018;686,98;694,94;429633679
12.06.2018;695,41;652,69;403509847
13.06.2018;650;604,28;373579586
14.06.2018;604,8;620,02;383311109
15.06.2018;620,16;574,82;355368450
16.06.2018;573,59;555,96;343707438
17.06.2018;556,68;538,64;333004061
18.06.2018;538,64;548,34;338999015
19.06.2018;548,25;565,85;349827275
20.06.2018;566,46;570,4;352639593
21.06.2018;570,16;573,87;354783607
22.06.2018;571,6;526,43;325455500
23.06.2018;526,58;537,38;332225712
24.06.2018;537,95;512,75;316993816
25.06.2018;511,38;522,24;322860798
26.06.2018;522,62;485,58;300196568
27.06.2018;485,23;491,49;303855240
28.06.2018;492,2;490,61;303310581
29.06.2018;489,14;521,24;322246279
30.06.2018;521,51;530,92;328227633
1.07.2018;531,74;531,9;328837824
2.07.2018;532,13;567,42;350792328
3.07.2018;566,52;546,45;337829329
4.07.2018;546,44;547,6;338544000
5.07.2018;549,27;549,03;339425593
6.07.2018;549,72;548;366186813
7.07.2018;547,4;571,15;381659627
8.07.2018;570,99;574,09;383622212
9.07.2018;576,37;569,57;380604496
10.07.2018;568,79;554,33;370417363
11.07.2018;554,76;568,07;379600149
12.07.2018;567,68;555,98;371523949
13.07.2018;556,89;558,94;373501903
14.07.2018;559,37;557,48;372521613
15.07.2018;556,98;573,46;383201897
16.07.2018;574,22;598,51;399937662
17.07.2018;598,97;667,95;446342739
18.07.2018;667,85;648,78;433531476
19.07.2018;648,48;616,48;411950392
20.07.2018;616,26;603,9;403540746
21.07.2018;603,86;622,28;415823440
22.07.2018;622,07;608,44;406579177
23.07.2018;608,36;610,17;407733207
24.07.2018;609,84;641,49;428661432
25.07.2018;640,45;644,32;430550512
26.07.2018;642,74;631,82;422196997
27.07.2018;631,83;648,96;433653094
28.07.2018;649,91;628,34;419875574
29.07.2018;627,45;650,78;434866595
30.07.2018;650,98;638,26;426505729
31.07.2018;636,66;609,52;407295518
1.08.2018;609,45;593,78;396781622
2.08.2018;592,69;584,2;390377327
3.08.2018;584,32;556,27;371713725
4.08.2018;557,08;548,79;366718723
5.08.2018;549,39;564,68;377337530
6.08.2018;565,15;542,18;362300401
7.08.2018;541,86;518,84;346703296
8.08.2018;518,88;509,43;340413268
9.08.2018;510,1;515,29;344330419
10.08.2018;514,63;474,63;317161615
11.08.2018;474,74;474,21;316878954
12.08.2018;469,81;474,36;316978520
13.08.2018;475,32;420,21;280795323
14.08.2018;420,72;401,29;268152454
15.08.2018;403,54;407,9;272572780
16.08.2018;408,38;423,99;283323897
17.08.2018;424,48;446,75;298532761
18.08.2018;447,7;433,55;289712823
19.08.2018;433,54;456,79;305236422
20.08.2018;457,04;422,38;282246046
21.08.2018;423,22;430,23;287491634
22.08.2018;429,97;411,79;275168845
23.08.2018;411,83;432,22;288822743
24.08.2018;432,51;439,8;293889246
25.08.2018;439,31;439,24;293513702
26.08.2018;439,38;428,73;286490628
27.08.2018;429,18;453,98;303362711
28.08.2018;455,19;462,19;308845520
29.08.2018;462,14;448,82;299912651
30.08.2018;448,96;439,81;293891919
31.08.2018;440,59;443,11;296099075
1.09.2018;447,82;486,04;324788098
2.09.2018;485,81;511,86;342036393
