Date;Open*;Close**;Market Cap
1.05.2018;242,45;240,26;3841343353
2.05.2018;239,94;249,66;3992528815
3.05.2018;249,34;245,98;3934424837
4.05.2018;246,68;241,53;3863990606
5.05.2018;241,23;240,78;3852847483
6.05.2018;240,88;235,49;3768995961
7.05.2018;235,74;233,07;3731033124
8.05.2018;233,22;223,35;3576230452
9.05.2018;223,82;227,52;3643688002
10.05.2018;227,21;218,22;3495512780
11.05.2018;218,48;197,74;3168080696
12.05.2018;197,57;201,96;3236419839
13.05.2018;202,05;209,58;3359116954
14.05.2018;210,19;215,04;3447444624
15.05.2018;214,69;205,17;3289843587
16.05.2018;204,87;199,21;3194929060
17.05.2018;199,34;192,99;3095873995
18.05.2018;193,02;204,05;3273886032
19.05.2018;203,62;197,57;3170651199
20.05.2018;197,79;203,45;3265583092
21.05.2018;203,83;198,74;3190644546
22.05.2018;198,64;176,27;2830532785
23.05.2018;175,8;171,54;2755129010
24.05.2018;171,21;171,49;2754772302
25.05.2018;171,66;164,72;2646565789
26.05.2018;164,84;164,55;2644399184
27.05.2018;164,47;166,08;2669603313
28.05.2018;166,23;149,96;2410951638
29.05.2018;150,04;157,57;2533873619
30.05.2018;157,6;155,23;2496706141
31.05.2018;154,56;155,52;2501878232
1.06.2018;155,89;157,54;2534811386
2.06.2018;157,59;162,65;2617565154
3.06.2018;162,66;169,35;2726015776
4.06.2018;169,07;160,09;2577467106
5.06.2018;160,31;167,19;2692332203
6.06.2018;167,15;164,61;2651319395
7.06.2018;164,68;163,91;2640433787
8.06.2018;164,07;158,7;2557090335
9.06.2018;158,52;154,96;2497257955
10.06.2018;154,99;139,51;2248778356
11.06.2018;139,55;138,04;2225536194
12.06.2018;138,46;125,66;2026238379
13.06.2018;125,88;121,85;1965296223
14.06.2018;121,94;132,94;2144563068
15.06.2018;132,85;122,78;1980982861
16.06.2018;121,75;126,83;2046742740
17.06.2018;126,97;124,06;2002540045
18.06.2018;123,82;127,43;2057245372
19.06.2018;127,38;126,22;2038147760
20.06.2018;126,18;122,55;1979240978
21.06.2018;122,49;123,61;1996826189
22.06.2018;123,46;110,6;1787006077
23.06.2018;110,68;115,38;1864528815
24.06.2018;115,15;121,29;1960472985
25.06.2018;121,18;126,76;2049297664
26.06.2018;126,72;120,82;1953595440
27.06.2018;120,63;128,71;2081601200
28.06.2018;128,85;115,81;1873340096
29.06.2018;117,3;126,78;2051160838
30.06.2018;126,71;131,01;2119967745
1.07.2018;131,05;129,77;2100427300
2.07.2018;130,26;140,5;2274505681
3.07.2018;140,12;138,46;2241910620
